TrendID,ProductGroupID,TrendName,TrendDescription,StartDate,EndDate,MarketSegment,Region,TrendImpact,TrendScore,TrendSource
1,9,late,Eight how yeah choice pull authority.,2020-10-28,2024-02-18,trouble,Bolivia,0.39,78,Cooper PLC
2,35,small,Particularly whom wait month whether.,2020-12-26,2024-04-17,question,Ghana,0.96,62,Lopez-Smith
3,83,concern,Travel have bit little.,2023-12-08,2020-11-28,dinner,Guyana,0.26,53,Allen-Marshall
4,15,door,Customer end yard loss professional president.,2020-06-29,2021-08-29,happen,United Arab Emirates,0.4,42,"Moses, Taylor and Wood"
5,32,also,Glass interesting glass woman thus allow.,2021-11-22,2022-11-21,yard,Sri Lanka,0.29,73,"Greene, Ingram and Grant"
6,66,away,Customer seek science finish.,2024-03-11,2021-12-25,open,Japan,0.21,78,"Richardson, Clayton and Allen"
7,59,hair,Technology produce voice tax bit.,2021-04-24,2024-03-31,mind,Montserrat,0.66,19,"Cross, Tucker and Shaw"
8,95,property,Girl at customer.,2020-06-12,2023-06-23,evening,Indonesia,0.26,27,Warren LLC
9,43,deal,Rise everyone cover receive agency interesting order majority.,2023-06-14,2024-01-27,care,Isle of Man,0.7,65,"King, Khan and Martinez"
10,47,billion,Best both future learn most life.,2020-02-06,2022-02-24,lead,South Georgia and the South Sandwich Islands,0.83,76,"White, Hall and Ponce"
11,57,dream,Yes professional blue friend sing I into.,2024-04-26,2023-08-29,relate,Azerbaijan,0.32,70,Mills-Pollard
12,7,area,Have international tend relate moment.,2021-01-17,2021-06-10,less,Dominica,0.72,59,"Smith, Ramirez and Duarte"
13,82,run,Interest decade report.,2021-03-07,2024-02-21,cultural,Haiti,0.28,85,"Brown, Williams and Ali"
14,67,thank,Entire morning of democratic message first fire cover.,2020-10-26,2022-12-07,draw,Azerbaijan,0.58,44,Nelson-Ayers
15,90,wife,Top eat probably your grow.,2021-02-06,2023-07-31,artist,Lithuania,0.65,76,Conley-Delgado
16,100,soon,Would public enter enough international walk keep stock.,2022-04-24,2024-06-05,health,Lithuania,0.03,87,Foster-Sharp
17,20,from,Art money protect bit.,2024-05-04,2021-08-07,similar,Heard Island and McDonald Islands,0.87,93,Lane-Ross
18,5,from,Mean argue radio main clearly medical theory find.,2024-03-27,2022-06-23,recent,Peru,0.52,14,Snyder and Sons
19,48,second,Direction pay majority science whatever.,2020-04-08,2021-11-09,term,Libyan Arab Jamahiriya,0.29,11,Johnson-Roberts
20,78,box,Region itself right rule when big sell property.,2020-01-15,2023-08-29,condition,Turkey,0.07,19,Glass Ltd
21,22,decade,Lay significant effect environmental.,2024-01-14,2022-01-19,present,Somalia,0.4,13,Bailey Inc
22,44,measure,Deal sell real leg marriage base center part.,2020-09-10,2023-02-10,her,United States Virgin Islands,0.28,10,"Jackson, Green and Jones"
23,44,cold,Third leave green structure explain media can.,2020-10-12,2021-07-22,wonder,Honduras,0.68,87,Martinez-Benitez
24,89,theory,Scientist radio interview drop.,2023-11-16,2022-01-11,public,Western Sahara,0.99,75,Jackson Inc
25,67,cold,Dream away speak simply time carry.,2020-08-30,2023-11-02,management,Lesotho,0.7,71,Lopez and Sons
26,21,source,Point listen indicate along turn apply data.,2020-04-23,2022-10-08,area,Mongolia,0.16,89,"Norris, Wright and Rogers"
27,44,federal,Particular laugh million bad.,2020-03-14,2021-03-24,region,Sweden,0.91,14,Coleman-Flores
28,16,hospital,Chance sometimes another direction lay.,2021-06-16,2024-04-12,baby,Malaysia,0.59,56,"Bryant, Miller and Chaney"
29,7,hundred,Degree make meeting professor everybody.,2022-02-19,2023-01-30,woman,Vanuatu,0.3,91,Collins-Bell
30,54,trial,Manage it appear want.,2022-01-31,2023-10-09,father,Aruba,0.68,8,Allen-Perez
31,85,learn,Thousand whose technology quite size its.,2020-10-06,2021-02-17,court,Iceland,0.29,49,Munoz-Hudson
32,10,range,Then rich however human amount.,2022-01-14,2023-10-20,seek,United States Minor Outlying Islands,0.31,93,Chen LLC
33,58,seem,That free down good human front energy.,2024-03-09,2022-07-03,specific,Burundi,0.66,45,"Moore, Pope and Mcclure"
34,86,especially,Here marriage since ask run administration.,2022-06-01,2024-04-15,item,Suriname,0.57,93,Dixon-Phillips
35,48,laugh,Class huge more raise want power.,2023-05-28,2022-09-24,clear,Fiji,0.58,1,Hughes-Martin
